*** Multilayered Thin Film Output File Format Version 6.03 ***
*** Modelling Engine Version 6.03 ***
* Description *
One Layer biaxial thin film on slightly absorbing thick substrate plate - dispersion calculations.

*** Begin Options Block ***
,,Using Media Orientation Angles.
,,Solving for layered film on a THICK SUBSTRATE plate.
,100,    Averaging Type: 
,3,    No Of Averaging Points: 
,1,    Averaging Periods: 
,,Rotating all layers simultaneously.
,,Using consecutive rotations.
,AbsoluteAzimuth,Using Absolute Azimuth
*** End Options Block ***

*** Begin Optical Properties Block ***
** Media **
Refraction_Index
,1,,Sqrt[epsFuncT . {{1, 0, 0}, {0, 1, 0}, {0, 0, 1}}],,1
** Begin Detailed Substrate Block **
,Epsilon RE,,,,Epsilon IM,,,,Mu RE,,,,Mu IM,,,,Ro RE,,,,Ro IM,,,,RoT RE,,,,RoT IM,,,
,""^2*"Attributes[eps$181966] = {Temporary}\n \neps$181966 = epsFuncT\n \n                                                                                                 2                                                      2                                                      2\n                                                                                             lamd                                                   lamd                                                   lamd\nepsFuncT[lamd_] := Module[{nVal1, nVal2, nVal3, epsRet}, nVal1 = Sqrt[1 + kCoeffT1 --------------------------]; nVal2 = Sqrt[1 + kCoeffT2 --------------------------]; nVal3 = Sqrt[1 + kCoeffT3 --------------------------]; epsRet = EpsilonFromN[nVal1, nVal2, nVal3]; Return[N[epsRet]]; ]\n                                                                                       2                    2                                 2                    2                                 2                    2\n                                                                                   lamd  - lambdaNullCoeffT1                              lamd  - lambdaNullCoeffT2                              lamd  - lambdaNullCoeffT3\n \nkCoeffT1 = 2.5\n \n                       1\nlambdaNullCoeffT1 = --------\n                    10000000\n \nkCoeffT2 = 2.6\n \n                        9\nlambdaNullCoeffT2 = ---------\n                    100000000\n \nkCoeffT3 = 2.7\n \n                        7\nlambdaNullCoeffT3 = ---------\n                    100000000\n \n                                                   2               2               2\nEpsilonFromN[n1_] := Module[{retval}, retval = {{n1 , 0, 0}, {0, n1 , 0}, {0, 0, n1 }}; Return[retval]; ]\n \n                                                             2               2               2\nEpsilonFromN[n1_, n2_, n3_] := Module[{retval}, retval = {{n1 , 0, 0}, {0, n2 , 0}, {0, 0, n3 }}; Return[retval]; ]",0,0,,,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
,0,,0,,0,,0,,0,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
,0,0,,,0,0,,,0,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
** End Detailed Substrate Block **
Thickness
Nothing to ouput so far...
** Media End **

** Film **
n
,N/A,0,0,
,0,N/A,0,
,0,0,N/A,

k
,N/A,0,0,
,0,N/A,0,
,0,0,N/A,

Epsilon_RE
,""^2*"Attributes[eps$181966] = {Temporary}\n \neps$181966 = epsFunc1\n \n                                                                                                 2                                                      2                                                      2\n                                                                                             lamd                                                   lamd                                                   lamd\nepsFunc1[lamd_] := Module[{nVal1, nVal2, nVal3, epsRet}, nVal1 = Sqrt[1 + kCoeff11 --------------------------]; nVal2 = Sqrt[1 + kCoeff12 --------------------------]; nVal3 = Sqrt[1 + kCoeff13 --------------------------]; epsRet = EpsilonFromN[nVal1, nVal2, nVal3]; Return[N[epsRet]]; ]\n                                                                                       2                    2                                 2                    2                                 2                    2\n                                                                                   lamd  - lambdaNullCoeff11                              lamd  - lambdaNullCoeff12                              lamd  - lambdaNullCoeff13\n \nkCoeff11 = 2.5\n \n                       1\nlambdaNullCoeff11 = --------\n                    10000000\n \nkCoeff12 = 2.4\n \n                       3\nlambdaNullCoeff12 = --------\n                    25000000\n \nkCoeff13 = 2.3\n \n                       7\nlambdaNullCoeff13 = --------\n                    50000000\n \n                                                   2               2               2\nEpsilonFromN[n1_] := Module[{retval}, retval = {{n1 , 0, 0}, {0, n1 , 0}, {0, 0, n1 }}; Return[retval]; ]\n \n                                                             2               2               2\nEpsilonFromN[n1_, n2_, n3_] := Module[{retval}, retval = {{n1 , 0, 0}, {0, n2 , 0}, {0, 0, n3 }}; Return[retval]; ]",0,0,
,0,N/A,0,
,0,0,N/A,

Epsilon_IM
,N/A,0,0,
,0,N/A,0,
,0,0,N/A,
** Film End **
*** End Optical Properties Block ***

*** Begin Output Block ***
Input,No,lambda,phita,beta,gamma,e,phi_2,theta_2,psi_2,phi_1,theta_1,psi_1,h,Output,"Layer 1: Re[Eps[x,x]]","Layer 1: Re[Eps[y,y]]","Layer 1: Re[Eps[z,z]]","S_R,0","S_R,1","S_R,2","S_R,3",R,T,gamma_R,° gamma_  R,chi_R,° chi_  R,p_R,chi_r,e_r,psi_pp,DELTA_pp,R_p,R_s,T_p,T_s
,1.,400.,60.,0.,0.,0.,0.,0.,0.,0.,0.,0.,75.,,3.6666666666666665,3.6373626373626378,3.621082621082621,0.0776903841394212,0.0776903841394212,0.,0.,0.07769038413942116,0.4816604879831786,0.,0.,0.,0.,1.,0.,0.,4.027216764905577,179.51040128533128,0.07769038413942116,0.,0.4816604879831786,0.
,2.,400.,60.,0.,0.,0.25,0.,0.,0.,0.,0.,0.,75.,,3.6666666666666665,3.6373626373626378,3.621082621082621,0.09402242695742696,0.05221829612854236,0.028793544738223965,-0.021903660637186663,0.09402242695742692,0.4729691631127302,-0.17601115497778483,-10.084696327450121,-0.32516152847808805,-18.63038324181737,0.6756503538477642,-88.85760640368913,-0.2809142198914396,4.027216764905577,179.51040128533128,0.07312036154298464,0.02090206541444232,0.4533275181018152,0.019641645010915042
,3.,400.,60.,0.,0.,0.5,0.,0.,0.,0.,0.,0.,75.,,3.6666666666666665,3.6373626373626378,3.621082621082621,0.13321932972064085,-0.008914715097566904,0.04894902605498081,-0.03723622308321737,0.13321932972064088,0.4521099834236538,-0.32123937354938303,-18.40566031780614,-0.325161528478088,-18.63038324181737,0.4664872391162467,-89.4632440384903,-0.14049646604568475,4.027216764905577,179.51040128533128,0.062152307311536946,0.07106702240910392,0.3853283903865427,0.06678159303711116
,4.,400.,60.,0.,0.,0.75,0.,0.,0.,0.,0.,0.,75.,,3.6666666666666665,3.6373626373626378,3.621082621082621,0.1776424861856166,-0.0781987944871574,0.05873883126597698,-0.04468346769986084,0.17764248618561662,0.42846957977603445,-0.21427828418965605,-12.277241325372128,-0.32516152847808794,-18.630383241817366,0.6052963087243444,-89.64611589815723,-0.0936688270413368,4.027216764905577,179.51040128533128,0.04972184584922957,0.12792064033638706,0.3082627123092344,0.12020686746680005
,5.,400.,60.,0.,0.,1.,0.,0.,0.,0.,0.,0.,75.,,3.6666666666666665,3.6373626373626378,3.621082621082621,0.21651274809247026,-0.13882236395304914,0.061186282568726,-0.04654527885402168,0.21651274809247037,0.407784226584367,-0.14884532275040427,-8.528208793860738,-0.3251615284780878,-18.63038324181736,0.7329266972325275,-89.73560931206327,-0.07025278825830582,4.027216764905577,179.51040128533128,0.03884519206971055,0.17766755602275983,0.2408302439915892,0.1669539825927778
,6.,500.,60.,0.,0.,0.,0.,0.,0.,0.,0.,0.,75.,,3.6041666666666674,3.5466893039049237,3.4956597222222214,0.07602920410819083,0.07602920410819083,0.,0.,0.07602920410819086,0.48669379769482574,0.,0.,0.,0.,1.,8.537736462515939e-7,0.,4.1966826612412085,179.98986972628995,0.07602920410819086,0.,0.48669379769482574,0.
,7.,500.,60.,0.,0.,0.25,0.,0.,0.,0.,0.,0.,75.,,3.6041666666666674,3.5466893039049237,3.4956597222222214,0.09164433715615844,0.05146945881220082,0.0077630319329749726,-0.039649992754615664,0.09164433715615851,0.47828315865328386,-0.32548745604976154,-18.64905751610121,-0.688726538466314,-39.46112389277434,0.7139896608856512,-89.93112533697897,-0.29350635312177886,4.1966826612412085,179.98986972628995,0.07155689798417966,0.02008743917197882,0.4580647507716007,0.02021840788168318
,8.,500.,60.,0.,0.,0.5,0.,0.,0.,0.,0.,0.,75.,,3.6041666666666674,3.5466893039049237,3.4956597222222214,0.1291206564712806,-0.007473929898175253,0.013197154286057472,-0.0674049876828466,0.12912065647128065,0.45809762495358325,-0.674737859029034,-38.659631600056755,-0.6887265384663139,-39.46112389277433,0.5350825353799734,-89.96783660990194,-0.14675332510482217,4.1966826612412085,179.98986972628995,0.060823363286552704,0.06829729318472799,0.3893550381558605,0.06874258679772277
,9.,500.,60.,0.,0.,0.75,0.,0.,0.,0.,0.,0.,75.,,3.6041666666666674,3.5466893039049237,3.4956597222222214,0.1715938183617525,-0.07427643710326821,0.015836585143268987,-0.08088598521941594,0.17159381836175258,0.43522068676058945,-0.40844334863390347,-23.40208004691315,-0.6887265384663138,-39.461123892774324,0.646596268575014,-89.97881676925033,-0.0978355669908103,4.1966826612412085,179.98986972628995,0.04865869062924215,0.12293512773251043,0.3114840305246884,0.12373665623590104
,10.,500.,60.,0.,0.,1.,0.,0.,0.,0.,0.,0.,75.,,3.6041666666666674,3.5466893039049237,3.4956597222222214,0.20875783501591522,-0.13272863090772455,0.016496442857571847,-0.08425623460355812,0.20875783501591538,0.4152033658417199,-0.2810768591254004,-16.104517746678646,-0.6887265384663137,-39.461123892774324,0.7572235965299614,-89.98417946792793,-0.07337667961271915,4.1966826612412085,179.98986972628995,0.03801460205409539,0.17074323296182,0.24334689884741292,0.17185646699430693
